Story,Field,Manual,Predicted
https://www.publicsource.org/pittsburgh-registered-community-organization-program-development-divisive-system/,Geographicarea,North Side,"North Side, Lower East End"
https://www.publicsource.org/pittsburgh-most-wanted-graffiti-writer-max-gonzales-muralist-essay/,Geographicarea,"East End, North Side",Upper East End
https://www.publicsource.org/pittsburgh-queer-history-landmark-preservation-review-commission-lgbtq-activists/,Geographicarea,Central Pittsburgh,"Hill District, Central Pittsburgh, Upper East End, South Pittsburgh"
https://www.publicsource.org/pittsburgh-international-students-college-university-donald-trump-executive-order-fears/,Geographicarea,Lower East End,North Side
https://www.publicsource.org/prt-pittsburgh-regional-transit-bus-service-cuts-fare-hikes-budget/,Neighborhoods,"Troy Hill, Spring Garden, East Allegheny, Marshall-Shadeland, Brighton Heights, Bellevue, Avalon, Ben Avon, Manchester, Allegheny West, , Emsworth, Sheraden, Kennedy Township, McKees Rocks, Elliott, Crafton, Ingram, Westwood, Robinson Township, Carnegie, Banksville, Dormont, Mt. Lebanon, Green Tree, Brookline, Beechview, Mount Washington, Duquesne Heights, Scott Township, Bridgeville, , Allentown,  Carrick, Overbrook, West Mifflin, Munhall, West Homestead, Homestead, Greenfield, Squirrel Hill South, Squirrel Hill, Shaler, Etna","Troy Hill, Spring Garden, East Allegheny, Marshall-Shadeland, Brighton Heights, Bellevue, Avalon, Ben Avon, Manchester, Allegheny West, , Emsworth, Sheraden, Kennedy Township, McKees Rocks, Elliott, Crafton, Ingram, Westwood, Robinson Township, Carnegie, Banksville, Dormont, Mt. Lebanon, Green Tree, Brookline, Beechview, Mount Washington, Duquesne Heights, Scott Township, Bridgeville, , Allentown, Carrick, Overbrook, West Mifflin, Munhall, West Homestead, Homestead, Greenfield, Squirrel Hill South, Squirrel Hill, Shaler, Etna"
https://www.publicsource.org/conservatorship-case-north-side-east-hills-pittsburgh-rising-tide-partners-superior-court/,Geographicarea,"North Side, Upper East End","Upper East End, North Side"
https://www.publicsource.org/pittsburgh-neighborhoods-youtube-videos-portland-oregon/,Geographicarea,"North Side, North Hills, South Hills","Central Pittsburgh, North Side"
https://www.publicsource.org/prt-pittsburgh-regional-transit-bus-route-cuts-funding-state-budget/,Neighborhoods,"Troy Hill, Spring Garden, East Allegheny, Marshall-Shadeland, Brighton Heights, Bellevue, Avalon, Ben Avon, Manchester, Allegheny West, , Emsworth, Sheraden, Kennedy Township, McKees Rocks, Elliott, Crafton, Ingram, Westwood, Robinson Township, Carnegie, Banksville, Dormont, Mt. Lebanon, Green Tree, Brookline, Beechview, Mount Washington, Duquesne Heights, Scott Township, Bridgeville, , Allentown,  Carrick, Overbrook, West Mifflin, Munhall, West Homestead, Homestead, Greenfield, Squirrel Hill South, Squirrel Hill, Shaler, Etna","Troy Hill, Spring Garden, East Allegheny, Marshall-Shadeland, Brighton Heights, Bellevue, Avalon, Ben Avon, Manchester, Allegheny West, , Emsworth, Sheraden, Kennedy Township, McKees Rocks, Elliott, Crafton, Ingram, Westwood, Robinson Township, Carnegie, Banksville, Dormont, Mt. Lebanon, Green Tree, Brookline, Beechview, Mount Washington, Duquesne Heights, Scott Township, Bridgeville, , Allentown, Carrick, Overbrook, West Mifflin, Munhall, West Homestead, Homestead, Greenfield, Squirrel Hill South, Squirrel Hill, Shaler, Etna"
https://www.publicsource.org/prt-pittsburgh-regional-transit-bus-route-cuts-funding-state-budget/,Geographicarea,North Side,"South Pittsburgh, North Side, Lower East End"
https://www.publicsource.org/summer-lee-pittsburgh-town-hall-meeting-democrats-donald-trump-elon-musk/,Geographicarea,"Hill District, Mon Valley",Central Pittsburgh
